Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-036DI,Gutekunst,0.206,0.556,36.65533981,138.3922354,7.551,2.9,0.4
RZ-036DX,Gutekunst,0.205,0.558,36.83414634,139.0673195,7.551,2.9,0.4
RZ-036EI,Gutekunst,0.185,0.619,40.81621622,154.1016243,7.551,2.9,0.4
RZ-036EX,Gutekunst,0.184,0.62,41.03804348,154.9391332,7.551,2.9,0.4
RZ-036FI,Gutekunst,0.186,0.202,22.96236559,49.03613172,4.271,7.5,0.45
RZ-036FX,Gutekunst,0.178,0.209,23.99438202,51.24000281,4.271,7.5,0.45
RZ-036GI,Gutekunst,0.108,0.314,39.5462963,84.45111574,4.271,7.5,0.45
RZ-036GX,Gutekunst,0.105,0.321,40.67619048,86.86400476,4.271,7.5,0.45
RZ-036HI,Gutekunst,0.066,0.48,64.71212121,138.1927348,4.271,7.5,0.45
RZ-036HX,Gutekunst,0.065,0.488,65.70769231,140.3187769,4.271,7.5,0.45
RZ-036I,Gutekunst,0.363,0.322,20.80165289,78.5366405,7.551,2.9,0.4
RZ-036JI,Gutekunst,0.04,0.759,106.775,228.0180125,4.271,7.5,0.45
RZ-036JX,Gutekunst,0.04,0.766,106.775,228.0180125,4.271,7.5,0.45
RZ-036KI,Gutekunst,0.026,1.149,164.2692308,350.7969423,4.271,7.5,0.45
RZ-036KX,Gutekunst,0.026,1.156,164.2692308,350.7969423,4.271,7.5,0.45
RZ-036LI,Gutekunst,0.017,1.706,251.2352941,536.5129706,4.271,7.5,0.45
RZ-036LX,Gutekunst,0.017,1.713,251.2352941,536.5129706,4.271,7.5,0.45
RZ-036MI,Gutekunst,0.691,0.131,9.147612156,28.91102822,6.321,5,0.45
RZ-036MX,Gutekunst,0.662,0.135,9.548338369,30.17752341,6.321,5,0.45
RZ-036NI,Gutekunst,0.401,0.202,15.76309227,49.81925312,6.321,5,0.45
